3.214 14 GUIDANCE_H_REF_INT -12531 0 0 0 -5632 2982 0 0 0 1336
3.217 14 INS 0 0 0 0 0 0 0 0 0
3.223 14 ROTORCRAFT_FP 0 0 0 0 0 0 0 0 0 2982 -12531 512 2 0 0
3.230 14 AHRS_REF_QUAT 32385 1145 4853 181 32768 0 0 0
3.230 14 AHRS_REF_QUAT 32385 1145 4853 181 32768 0 0 0
3.232 14 MATEKSYS_FLOW_LIDAR 1 123 1 1 255 165
3.234 14 MATEKSYS_FLOW_LIDAR 1 123 1 1 255 -1
3.241 14 MATEKSYS_FLOW_LIDAR 1 123 1 1 255 -1
3.252 14 MATEKSYS_FLOW_LIDAR 1 123 1 1 255 -1
3.261 14 MATEKSYS_FLOW_LIDAR 1 123 1 1 255 165
3.271 14 MATEKSYS_FLOW_LIDAR 1 123 1 1 255 165
3.282 14 MATEKSYS_FLOW_LIDAR 1 123 1 1 255 165
3.291 14 MATEKSYS_FLOW_LIDAR 2 121 -1 0 255 165
3.301 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 170
3.312 14 WIND_INFO_RET 5 0. 0. 0. 0.
3.315 14 AIR_DATA 99058. 0. 38.610001 -1. 0. 0. -1.
3.318 14 ESC 0. 1.096177 0. 0. 0. 0. 16
3.320 14 ROTORCRAFT_STATUS 0 0 2 0 0 13 0 0 0 4 5 1978 1.096177
3.325 14 INS_EKF2 512 0 0 164 0 0. 0. 0. 0. 0. 0. 0. 0.
3.330 14 GPS_INT 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
3.332 14 SVINFO 0 0 0 0 0 0 0
3.334 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 170
3.336 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 164
3.341 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 164
3.351 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 164
3.361 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 164
3.371 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 164
3.381 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 164
3.391 14 MATEKSYS_FLOW_LIDAR 2 122 0 0 255 164
3.401 14 MATEKSYS_FLOW_LIDAR 1 122 0 0 255 167
3.416 14 HOVER_LOOP -12531 2982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000602
3.420 14 INS 0 0 0 0 0 0 0 0 0
3.426 14 ROTORCRAFT_FP 0 0 0 0 0 0 0 0 0 2982 -12531 512 2 0 0
3.429 14 AHRS_REF_QUAT 32385 1145 4853 181 32768 0 0 0
3.431 14 MATEKSYS_FLOW_LIDAR 1 122 0 0 255 167
3.433 14 MATEKSYS_FLOW_LIDAR 1 122 0 0 255 167
3.435 14 MATEKSYS_FLOW_LIDAR 1 122 0 0 255 167
3.441 14 MATEKSYS_FLOW_LIDAR 1 122 0 0 255 166
3.451 14 MATEKSYS_FLOW_LIDAR 1 122 0 0 255 166
3.462 14 MATEKSYS_FLOW_LIDAR 1 122 0 0 255 166
3.471 14 MATEKSYS_FLOW_LIDAR 1 122 0 0 255 166
3.481 14 MATEKSYS_FLOW_LIDAR 1 122 0 0 255 169
3.492 14 MATEKSYS_FLOW_LIDAR 2 121 -1 0 255 169
3.501 14 MATEKSYS_FLOW_LIDAR 2 121 -1 0 255 169
3.512 14 ENERGY 0 1.038483 0. 0. 0. 0.
3.518 14 GPS_INT 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
3.519 14 SVINFO 0 0 0 0 0 0 0
3.523 14 AHRS_REF_QUAT 32385 1145 4853 181 32768 0 0 0
3.526 14 AHRS_REF_QUAT 32385 1145 4853 181 32768 0 0 0
3.528 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 171
3.532 14 GUIDANCE_H_REF_INT -12531 0 0 0 -5632 2982 0 0 0 1336
3.534 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 171
3.536 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 171
3.542 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 171
3.552 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 172
3.564 14 INS_EKF2 512 0 0 164 0 0. 0. 0. 0. 0. 0. 0. 0.
3.566 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 172
3.571 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 172
3.582 14 MATEKSYS_FLOW_LIDAR 1 121 -1 0 255 167
3.591 14 MATEKSYS_FLOW_LIDAR 2 121 -1 0 255 167
3.602 14 MATEKSYS_FLOW_LIDAR 2 122 1 0 255 167
3.611 14 STATE_FILTER_STATUS 12 2 0
3.614 14 INS 0 0 0 0 0 0 0 0 0
3.620 14 ROTORCRAFT_FP 0 0 0 0 0 0 0 0 0 2982 -12531 512 2 0 0
3.623 14 AHRS_REF_QUAT 32385 1145 4853 181 32768 0 0 0
3.627 14 AHRS_REF_QUAT 32385 1145 4853 181 32768 0 0 0
3.629 14 MATEKSYS_FLOW_LIDAR 2 122 1 0 255 167
3.631 14 MATEKSYS_FLOW_LIDAR 1 122 1 0 255 166
3.633 14 MATEKSYS_FLOW_LIDAR 1 122 1 0 255 166
3.641 14 MATEKSYS_FLOW_LIDAR 1 122 1 0 255 166
3.651 14 MATEKSYS_FLOW_LIDAR 1 122 1 0 255 167
3.661 14 MATEKSYS_FLOW_LIDAR 1 122 1 0 255 167
3.671 14 MATEKSYS_FLOW_LIDAR 1 122 1 0 255 167
3.681 14 MATEKSYS_FLOW_LIDAR 1 122 1 0 255 167
3.691 14 MATEKSYS_FLOW_LIDAR 1 122 1 0 255 167
3.701 14 MATEKSYS_FLOW_LIDAR 2 122 0 0 255 167
3.712 14 ROTORCRAFT_STATUS 0 0 2 0 0 13 0 0 0 4 5 1978 1.06733
3.720 14 HOVER_LOOP -12531 2982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000602
3.724 14 GPS_INT 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
3.725 14 SVINFO 0 0 0 0 0 0 0
3.730 14 AHRS_REF_QUAT 32385 1145 4853 181 32768 0 0 0
3.731 14 MATEKSYS_FLOW_LIDAR 2 122 0 0 255 167
